"id","titel","titelkort","offentlighedskode","nummer","nummerprefix","nummerpostfix","resume","afstemningskonklusion","afgørelsesresultatkode","baggrundsmateriale","opdateringsdato","begrundelse","paragrafnummer","paragraf","afgørelsesdato","afgørelse","rådsmødedato","lovnummerdato","retsinformationsurl","fremsatundersagid","typeid","kategoriid","statusid","periodeid","lovnummer","nummernumerisk","statsbudgetsag","deltundersagid"
2641,"Forslag til folketingsbeslutning om brug af elektronisk fodlænke på kriminelle asylansøgere og udlændinge på tålt ophold.","Om brug af elektronisk fodlænke på kriminelle på tålt ophold.","O","B 35","B","","Beslutningsforslaget havde til formål at forebygge og dermed nedbringe kriminaliteten blandt asylansøgere ved at indføre brugen af elektroniske fodlænker. Desuden havde beslutningsforslaget til formål at sikre en større kontrol med udlændinge på tålt ophold, ligeledes via en udvidet brug af elektroniske fodlænker.","Forkastet

13 stemmer for forslaget (DF)

98 stemmer imod forslaget (V, S, RV, SF, EL, LA, KF, UFG)

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2018-10-02T12:52:35.997",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,15,3,32,NULL,"35",False,NULL
2642,"Forslag til folketingsbeslutning om kørekort til lille knallert for 15-årige.","Om kørekort til lille knallert for 15-årige.","O","B 39","B","","Formålet med forslaget var, at 15-årige fik mulighed for at erhverve sig et kørekort til en lille knallert med en maksimal hastighed på 30 km/t. ","Forkastet

51 stemmer for forslaget (V, DF, LA, KF)

58 stemmer imod forslaget (S, RV, SF, EL, UFG)

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2018-10-02T12:53:40.727",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,15,3,32,NULL,"39",False,NULL
2643,"Forslag til lov om ændring af lov om valg til Folketinget og lov om valg af danske medlemmer til Europa-Parlamentet. (Bemyndigelse til digitalisering af proceduren for indsamling af vælgererklæringer m.v.).","Om digitalisering af proceduren for indsamling af vælgererklæringer.","O","L 124","L","","Formålet med loven er at etablere hjemmel til, at økonomi- og indenrigsministeren kan fastsætte regler om indsamling af vælgererklæringer til brug for anmeldelse af nye partier til folketingsvalg og Europa-Parlamentsvalg, herunder at dette skal ske ved brug af et digitalt system.","Vedtaget

109 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:45:21.027",NULL,NULL,NULL,NULL,NULL,NULL,"2014-03-29T00:00:00",NULL,NULL,3,13,11,32,"312","124",False,NULL
2644,"Forslag til lov om ændring af lov om rettigheder og immuniteter for internationale organisationer m.v. (Særlige rettigheder og immuniteter til Palæstinas mission i Danmark).","Om immuniteter og rettigheder til Palæstinas mission i Danmark.","O","L 127","L","","Loven har til formål at skabe hjemmel til, at Palæstinas mission i Danmark og missionens personale og familiemedlemmer kan få rettigheder og immuniteter, så det svarer til det, som andre diplomatiske repræsentationer har i Danmark. Da Danmark ikke anerkender Palæstina som en selvstændig stat, har Palæstinas mission i Danmark hidtil ikke haft denne type diplomatiske rettigheder og immuniteter. I Finland, Norge og Sverige er der taget lignende initiativer.","Vedtaget

85 stemmer for forslaget (V, S, RV, SF, EL, LA, UFG)

18 stemmer imod forslaget (DF, KF)

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:45:22.697",NULL,NULL,NULL,NULL,NULL,NULL,"2014-04-11T00:00:00",NULL,NULL,3,13,11,32,"360","127",False,NULL
2645,"Forslag til lov om ændring af universitetsloven og lov om maritime uddannelser. (Finansiering af international studentermobilitet og udskydelse af virkningstidspunktet for tilmelding og framelding til uddannelsens fag og prøver for visse studerende m.v.).","Om finansiering af international studentermobilitet  m.v.","O","L 118","L","","Loven giver universiteter og maritime uddannelsesinstitutioner mere fleksibilitet i det internationale samarbejde om udveksling af studerende. Der skal fortsat være en balance – inden for en 3-årig periode – mellem danske studerende, der rejser til udenlandske universiteter for en periode, og udenlandske studerende, der tager en del af uddannelsen i Danmark.

Loven blev primært forhandlet med SU-forligskredsen.","Vedtaget

100 stemmer for forslaget (V, S, DF, RV, SF, LA, KF, UFG)

7 stemmer imod forslaget (EL)

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:45:27.603",NULL,NULL,NULL,NULL,NULL,NULL,"2014-05-26T00:00:00",NULL,NULL,3,13,11,32,"520","118",False,NULL
2646,"Forslag til lov om ændring af lov om råstoffer og lov om miljøbeskyttelse. (Flytning af myndighedskompetence fra kommunalbestyrelsen til henholdsvis staten og regionsrådet som opfølgning på evaluering af kommunalreformen).","Om opfølgning på evaluering af kommunalreformen på natur- og miljøområdet.","O","L 125","L","","Med loven ændres miljøbeskyttelsesloven, således at opgaverne vedrørende godkendelse og tilsyn med affaldsdeponeringsanlæg samles hos staten. Samtidig ændres råstofloven, så samtlige opgaver vedrørende råstofindvinding på land samles i regionsrådet. Det betyder, at kommunernes kompetencer vedrørende tilladelser og tilsyn på råstofområdet m.m. flyttes til regionsrådet. Regionsrådet får pligt til at høre kommunalbestyrelsen. 

Loven er en opfølgning på evalueringen af kommunalreformen og udmønter den fælles aftale mellem regeringen og Folketingets partier om en justering af kommunalreformen for at sikre øget faglighed og effektivitet på miljøområdet.
","Vedtaget  105 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)  0 stemmer imod forslaget  0 stemmer hverken for eller imod forslaget  ",NULL,NULL,"2017-12-05T19:45:27.27",NULL,NULL,NULL,NULL,NULL,NULL,"2014-04-23T00:00:00",NULL,NULL,3,13,11,32,"380","125",False,NULL
2647,"Forslag til lov om ændring af kriminallov for Grønland og retsplejelov for Grønland. (Anvendelse af den grønlandske psykiatrilov over for retspsykiatriske patienter og videoafhøring af børn m.v.).","Om den grønlandske psykiatrilov m.v.","O","L 120","L","","Loven indeholder tre hovedelementer. For det første skal den grønlandske psykiatrilov kunne finde anvendelse over for retspsykiatriske patienter. For det andet udvides den grønlandske retsplejelovs regler om omgørelse af påtaleopgivelser og tiltalefrafald, så det bliver muligt at omgøre den slags afgørelser efter omgørelsesfristens udløb, hvis betingelserne for genoptagelse er opfyldt. For det tredje indsættes regler i den grønlandske retsplejelov om optagelse og anvendelse af videoafhøring af børn svarende til reglerne om dette i den danske retsplejelov.","Vedtaget

107 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:45:27.05",NULL,NULL,NULL,NULL,NULL,NULL,"2014-06-25T00:00:00",NULL,NULL,3,13,11,32,"735","120",False,NULL
2648,"Forslag til lov om ændring af lov om ophavsret. (Visse tilladte anvendelser af forældreløse værker og ændring af aftalelicensbestemmelsen vedrørende kabelviderespredning).","Om kabelviderespredning m.v.","O","L 123","L","","Loven implementerer EU-direktiv 2012/28/EU om visse tilladte anvendelser af forældede værker, således at visse almennyttige organisationer, som f.eks. biblioteker, kan anvende de såkaldte forældreløse værker uden først at skulle indhente samtykke hos rettighedshaverne. Forældreløse værker er værker og lydoptagelser, hvor rettighedshaverne ikke kan identificeres og lokaliseres.

Derudover ændrer loven ophavsretslovens § 35 om videretransmission af radio- og tv-udsendelser over kabelanlæg m.v. med henblik på at tilpasse bestemmelsen den teknologiske udvikling. Desuden udvides Ophavsretslicensnævnets kompetence til også at omfatte vurdering af vederlag og andre vilkår for udbud af de nye tjenester.","Vedtaget

107 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:45:28.303",NULL,NULL,NULL,NULL,NULL,NULL,"2014-06-25T00:00:00",NULL,NULL,3,13,11,32,"741","123",False,NULL
2649,"Forslag til lov om ændring af lov om scenekunst. (Indførelse af samtidighed i perioderne for egnsteateraftaler, præcisering af grundlag for refusionsberettigelse m.v.).","Om egnsteateraftaler og grundlag for refusionsberettigelse m.v.","O","L 122","L","","Loven indeholder en revision af egnsteaterrefusionsordningen. Formålet er at skabe større stabilitet i størrelsen af den statslige refusion af kommunernes udgifter til egnsteatre. Dette opnås ved at indføre samtidighed i egnsteatrenes aftaler med kommunerne, hvormed den statslige refusionsprocent vil komme til at ligge fast for hele den 4-årige aftaleperiode for egnsteatrene.
 
Derudover sigter loven mod at præcisere regelsættet for egnsteatre gennem en tydeliggørelse af, hvad der skal til for at blive godkendt, og ved en afgrænsning af, hvad der berettiger til egnsteaterrefusion. Endelig indeholder forslaget en omstrukturering af scenekunstlovens kapitel 7 om egnsteatre, der formuleres på et mere overordnet niveau.
 
Loven er en udmøntning af en del af tillægsaftalen af 5. september 2013 til aftale om en række ændringer på teaterområdet af 21. juni 2011, som blev indgået af regeringen (Socialdemokratiet, Radikale Venstre og Socialistisk Folkeparti), Venstre, Dansk Folkeparti, De Konservative og Liberal Alliance.
","Vedtaget

104 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:45:28.117",NULL,NULL,NULL,NULL,NULL,NULL,"2014-05-14T00:00:00",NULL,NULL,3,13,11,32,"458","122",False,NULL
2650,"Forslag til lov om ændring af lov om finansiel virksomhed, lov om værdipapirhandel m.v., straffeloven, lov om forvaltere af alternative investeringsfonde m.v., retsplejeloven og forskellige andre love. (Indførelse af regler, der giver pensionskunder ret til at få den samlede økonomiske værdi af deres pensionsordning overført i forbindelse med visse tilfælde af omvalg, direktørers og andre ledende medarbejderes mulighed for at deltage i ledelsen eller driften af anden erhvervsvirksomhed, krav til sammensætningen af bestyrelsen i en fond eller forening, der ejer et realkreditaktieselskab, ændring af reglerne om straf for overtrædelse af CO2-auktioneringsforordningen, regulering af CO2-kvotebydere, ændringer af reglerne om forvaltere af alternative investeringsfondes muligheder for at markedsføre alternative investeringsfonde, herunder undtagelse af markedsføring af andele i fondene til medarbejdere og visse detailinvestorer fra kravet om særlig markedsføringstilladelse og indførelse af mulighed for, at forvaltere fra tredjelande kan markedsføre fonde til detailinvestorer, ændring af grænsen for tilbudspligten i værdipapirhandelsloven samt bedre sikring af mindre aktionærers rettigheder, forbud mod brug af variabel løn, der er afhængig af opnåelse af et bestemt salgsmål til detailkunder, ændring af reglerne om tilsyn med fælles datacentraler, tilsyn med depositarer for alternative investeringsfonde m.v.).","Om finansiel virksomhed m.v.","O","L 119","L","","Med loven får pensionskunder, der tilbydes omvalg af pensionsprodukter, overført den økonomiske værdi af deres nuværende produkt til det nye produkt – opgjort efter en individuel beregning. Ydermere indfører loven forbud mod, at værdipapirhandlere må aflønne de af deres ansatte, der sælger eller rådgiver om finansielle instrumenter ved direkte kundekontakt, med variable løndele, som er afhængige af opnåelse af et bestemt salgsmål til detailkunder. Loven indeholder yderligere en række ændringer af den finansielle lovgivning, herunder af lov om forvaltere af alternative investeringsfonde m.v., hvor Finanstilsynet bl.a. får hjemmel til at føre tilsyn med depositarer for en alternativ investeringsforening. 

Loven trådte i kraft den 15. maj 2014.","Vedtaget

106 stemmer for forslaget (V, S, DF, RV, SF, EL, KF, UFG)

5 stemmer imod forslaget (LA)

0 stemmer hverken for eller imod forslaget

",NULL,NULL,"2017-12-05T19:45:28.947",NULL,NULL,NULL,NULL,NULL,NULL,"2014-04-28T00:00:00",NULL,NULL,3,13,11,32,"403","119",False,NULL
